Index,Smiles,Type,Sites,conf_id,G/Hatree
58,Cc1cc(C)cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(C)cc(C)c4)cc4ccccc34)c2O)c1,Binol,18 36,1,-1538.916252
59,Oc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc12,Binol,0 27,2,-2729.044836
60,Oc1c(-c2cc(F)cc(F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(F)cc(F)c2)cc2ccccc12,Binol,0 21,0,-1778.535779
61,COc1ccc(C(C)(C)C)cc1-c1cc2ccccc2c(-c2c(O)c(-c3cc(C(C)(C)C)ccc3OC)cc3ccccc23)c1O,Binol,23 45,0,-1924.757447
62,Oc1c(-c2cccc3ccccc23)cc2ccccc2c1-c1c(O)c(-c2cccc3ccccc23)cc2ccccc12,Binol,0 23,0,-1688.858756
63,Oc1c(-c2ccc3ccccc3c2)cc2ccccc2c1-c1c(O)c(-c2ccc3ccccc3c2)cc2ccccc12,Binol,0 23,2,-1688.860782
64,Oc1c(-c2c3ccccc3cc3ccccc23)cc2ccccc2c1-c1c(O)c(-c2c3ccccc3cc3ccccc23)cc2ccccc12,Binol,0 27,1,-1995.854406
65,Oc1c(-c2ccc(-c3ccc4ccccc4c3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccc4ccccc4c3)cc2)cc2ccccc12,Binol,0 29,1,-2150.531823
1001,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,Ligand_Box,4 13,3,-924.7872077
1002,CC(C)(C)[C@@H]1COC(C2(C3=N[C@H](C(C)(C)C)CO3)CCCCC2)=N1,Ligand_Box,10 23,0,-1041.378417
1003,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)=N1,Ligand_Box,10 22,2,-1002.119896
1004,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCC2)=N1,Ligand_Box,10 21,0,-962.8318746
1005,CC(C)(C)[C@@H]1COC(C2(C3=N[C@H](C(C)(C)C)CO3)CC2)=N1,Ligand_Box,10 20,2,-923.5694488
1006,CC(C)(C)[C@@H]1COC(CC2=N[C@H](C(C)(C)C)CO2)=N1,Ligand_Box,10 18,1,-846.2631981
1007,CC(C)(C)[C@H]1COC(C(Cc2ccccc2)(Cc2ccccc2)C2=N[C@@H](C(C)(C)C)CO2)=N1,Ligand_Box,24 32,0,-1386.443314
1008,CC(C)(C)[C@H]1COC(C2=N[C@@H](C(C)(C)C)CO2)=N1,Ligand_Box,9 17,1,-806.9917463
1009,CC(C)(C)[C@H]1COC(c2ccccn2)=N1,Ligand_Box,13 14,0,-650.9603345
1010,CC(C)(C)[C@H]1COC(c2ccc3ccccc3n2)=N1,Ligand_Box,17 18,0,-804.4663888
1011,CC(C)(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)(C)C)CO3)n2)=N1,Ligand_Box,23 14 22,0,-1053.868619
1012,CC(C)(C)[C@@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,Ligand_Box,17 18,0,-987.756862
1013,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)c1ccccn1,Ligand_Box,17 4,0,-768.7447589
1014,CC(C)(C)[C@@H]1COC(c2nccc3ccccc23)=N1,Ligand_Box,9 18,1,-804.4621747
1015,CC(C)(C)[C@H]1COC([C@@H]2CCCC[C@H]2C2=N[C@@H](C(C)(C)C)CO2)=N1,Ligand_Box,23 15,0,-1041.38254
1016,CC(C)(C)[C@@H]1COC(c2ccccc2Nc2ccccc2C2=N[C@H](C(C)(C)C)CO2)=N1,Ligand_Box,22 14 30,0,-1323.988245
1017,CC(C)(C)[C@H]1COC(/C=c2\[n-]/c(=C\C3=N[C@@H](C(C)(C)C)CO3)c3ccccc23)=N1,Ligand_Box,10 28 14,0,-1246.074571
1018,CC(C)(C)[C@H]1COC(c2cccc(-c3cccc(C4=N[C@@H](C(C)(C)C)CO4)n3)n2)=N1,Ligand_Box,27 19 28 29,0,-1300.750937
1019,CC(C)(C)[C@@H]1COC(c2cccc(-c3ccccn3)n2)=N1,Ligand_Box,18 19 20,0,-897.839473
1020,CC(C)(C)[C@@H]1COC(c2cccc(-c3ccccn3)n2)=N1,Ligand_Box,18 19 20,0,-897.8395764
1021,Cc1ccc(N2C[C@H](C(C)(C)C)N=C2C2=N[C@@H](C(C)(C)C)CN2c2ccc(C)cc2)cc1,Ligand_Box,12 15,0,-1307.470214
1022,CC(C)[C@@H]1COC(C(C)(C)C2=N[C@H](C(C)C)CO2)=N1,Ligand_Box,18 11,2,-846.264983
1023,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CCCCC2)=N1,Ligand_Box,9 21,2,-962.8650477
1024,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CCCC2)=N1,Ligand_Box,9 20,0,-923.5979956
1025,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CC2)=N1,Ligand_Box,9 18,0,-845.0470679
1026,CC(C)[C@@H]1COC(CC2=N[C@H](C(C)C)CO2)=N1,Ligand_Box,16 9,3,-767.7407516
1027,CC(C)[C@H]1COC(C(C)(Cc2ccccc2)C2=N[C@@H](C(C)C)CO2)=N1,Ligand_Box,24 17,0,-1077.094636
1028,CC(C)[C@@H]1COC(C(Cc2ccccc2)(Cc2ccccc2)C2=N[C@H](C(C)C)CO2)=N1,Ligand_Box,30 23,1,-1307.925837
1029,CC(C)[C@H]1COC(C(Cc2ccc(C(C)(C)C)cc2)(Cc2ccc(C(C)(C)C)cc2)C2=N[C@@H](C(C)C)CO2)=N1,Ligand_Box,38 31,0,-1622.00837
1030,CC(C)[C@@H]1COC(C2=N[C@H](C(C)C)CO2)=N1,Ligand_Box,8 15,0,-728.4699348
1031,CC(C)[C@H]1COC(c2ccccn2)=N1,Ligand_Box,12 13,0,-611.69952
1032,CC(C)[C@@H]1COC(c2ccc3ccccc3n2)=N1,Ligand_Box,16 17,0,-765.2054016
1033,CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1,Ligand_Box,21 20 13,0,-975.3489125
1034,CC(C)[C@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,Ligand_Box,16 17,0,-948.4960275
1035,CC(C)[C@@H]1COC(Cc2ccccn2)=N1,Ligand_Box,13 14,0,-650.9622206
1036,CC(C)[C@@H]1COC(c2nccc3ccccc23)=N1,Ligand_Box,8 17,0,-765.2009547
1037,CC(C)[C@@H]1COC(c2ccc3cccnc3n2)=N1,Ligand_Box,16 17,0,-781.2378695
1038,CC(C)C[C@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2C2=N[C@@H](CC(C)C)CO2)=N1,Ligand_Box,28 14 36,0,-1841.351686
1039,CC(C)[C@H]1COC(c2cccc3c2oc2c(C4=N[C@@H](C(C)C)CO4)cccc23)=N1,Ligand_Box,17 28 13,0,-1264.139226
1040,CC(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)C)CO3)c2)=N1,Ligand_Box,21 13,1,-959.3224258
1041,CC(C)c1cccc(N2C[C@H](C(C)C)N=C2C2=N[C@@H](C(C)C)CN2c2cccc(C(C)C)c2)c1,Ligand_Box,14 17,0,-1385.989932
1042,CC(C)[C@H]1CN(c2ccc(C(F)(F)F)cc2)C(C2=N[C@@H](C(C)C)CN2c2ccc(C(F)(F)F)cc2)=N1,Ligand_Box,18 35,0,-1824.017689
1043,Cc1ccc(N2C[C@H](C(C)C)N=C2C2=N[C@@H](C(C)C)CN2c2ccc(C)cc2)cc1,Ligand_Box,11 14,0,-1228.948101
1044,CC(C)[C@H]1COC(/C(C#N)=C2\[N-][C@@H](C(C)C)CO2)=N1,Ligand_Box,11 18,6,-859.3852808
1045,CC(C)[C@H]1N=C(c2cccc(C3=N[C@H](C(C)C)C(c4ccccc4)(c4ccccc4)O3)n2)OC1(c1ccccc1)c1ccccc1,Ligand_Box,4 12 31,0,-1898.675751
1046,CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1,Ligand_Box,4 15,4,-1072.360523
1047,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCCCC3)=N2)cc1,Ligand_Box,25 10,1,-1188.961784
1048,c1ccc([C@H]2COC(C3(C4=N[C@@H](c5ccccc5)CO4)CCCC3)=N2)cc1,Ligand_Box,24 10,1,-1149.693678
1049,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCC3)=N2)cc1,Ligand_Box,10 23,0,-1110.405334
1050,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,Ligand_Box,10 22,0,-1071.142417
1051,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H](c3ccccc3)CO2)C2=N[C@@H](c3ccccc3)CO2)cc1,Ligand_Box,25 14,2,-1534.023098
1052,CC(Cc1ccccc1)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1,Ligand_Box,10 21,0,-1303.193117
1053,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H](c3ccccc3)CO2)C2=N[C@@H](c3ccccc3)CO2)cc1,Ligand_Box,33 22,0,-1848.107801
1054,c1ccc([C@H]2COC(C3=N[C@@H](c4ccccc4)CO3)=N2)cc1,Ligand_Box,9 19,0,-954.5647571
1055,c1ccc([C@@H]2COC(c3ccccn3)=N2)cc1,Ligand_Box,13 14,0,-724.746776
1056,c1ccc([C@H]2COC(c3ccc4ccccc4n3)=N2)cc1,Ligand_Box,17 18,0,-878.2528728
1057,c1ccc([C@H]2COC(c3cccc(C4=N[C@@H](c5ccccc5)CO4)n3)=N2)cc1,Ligand_Box,24 25 14,0,-1201.443303
1058,c1ccc([C@H]2COC(CC3=N[C@@H](c4ccccc4)CO3)=N2)cc1,Ligand_Box,10 20,0,-993.8362822
1059,c1ccc([C@H]2COC(c3nccc4ccccc34)=N2)cc1,Ligand_Box,9 18,0,-878.2485743
1060,CC(C)(C1=N[C@@H](c2ccccc2)C(c2ccccc2)(c2ccccc2)O1)C1=N[C@@H](c2ccccc2)C(c2ccccc2)(c2ccccc2)O1,Ligand_Box,27 4,1,-1995.694324
1061,C(\C1=N[C@H](c2ccccc2)CO1)=c1\[n-]/c(=C\C2=N[C@H](c3ccccc3)CO2)c2ccccc12,Ligand_Box,17 2 13,0,-1393.650658
1062,c1ccc([C@H]2COC(c3ccccc3Nc3ccccc3C3=N[C@@H](c4ccccc4)CO3)=N2)cc1,Ligand_Box,32 14 22,0,-1471.560923
1063,N#C/C(C1=N[C@@H](c2ccccc2)CO1)=C1/[N-][C@@H](c2ccccc2)CO1,Ligand_Box,4 15,2,-1085.486043
1064,c1ccc([C@H]2COC(c3cccc(C4=N[C@@H](c5ccccc5)CO4)c3)=N2)cc1,Ligand_Box,25 14,2,-1185.417111
1065,c1ccc([C@H]2COC(c3cccc4c3oc3c(C5=N[C@@H](c6ccccc6)CO5)cccc34)=N2)cc1,Ligand_Box,32 18 14,1,-1490.233608
1066,C(\C1=N[C@H](c2ccccc2)CO1)=c1\o/c(=C\C2=N[C@H](c3ccccc3)CO2)c2ccccc12,Ligand_Box,17 2 13,0,-1414.040486
1067,CC(C)(C1=N[C@@H]2c3ccccc3C[C@@H]2O1)C1=N[C@@H]2c3ccccc3C[C@@H]2O1,Ligand_Box,16 4,0,-1148.533419
1068,c1ccc2c(c1)C[C@H]1OC(C3(C4=N[C@H]5c6ccccc6C[C@H]5O4)CCCCC3)=N[C@@H]21,Ligand_Box,12 28,0,-1265.120113
1069,c1ccc2c(c1)C[C@@H]1OC(C3(C4=N[C@@H]5c6ccccc6C[C@@H]5O4)CCCC3)=N[C@H]21,Ligand_Box,27 12,0,-1225.865898
1070,c1ccc2c(c1)C[C@@H]1OC(C3(C4=N[C@@H]5c6ccccc6C[C@@H]5O4)CCC3)=N[C@H]21,Ligand_Box,26 12,3,-1186.577848
1071,c1ccc2c(c1)C[C@H]1OC(C3(C4=N[C@H]5c6ccccc6C[C@H]5O4)CC3)=N[C@@H]21,Ligand_Box,25 12,0,-1147.313977
1072,CCC(CC)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1,Ligand_Box,18 6,0,-1227.050677
1073,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)C2=N[C@@H]3c4ccccc4C[C@@H]3O2)cc1,Ligand_Box,26 14,0,-1610.184387
1074,CC(Cc1ccccc1)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1,Ligand_Box,10 22,0,-1379.360112
1075,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)C2=N[C@@H]3c4ccccc4C[C@@H]3O2)cc1,Ligand_Box,34 22,0,-1924.267304
1076,CC(C)(C)c1cc(CC(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2)(C2=N[C@H]3c4ccccc4C[C@H]3O2)C2=N[C@H]3c4ccccc4C[C@H]3O2)cc(C(C)(C)C)c1,Ligand_Box,25 37,1,-2238.36189
1077,c1ccc2c(c1)CC(C1=N[C@@H]3c4ccccc4C[C@@H]3O1)(C1=N[C@@H]3c4ccccc4C[C@@H]3O1)C2,Ligand_Box,9 21,0,-1378.182059
1078,c1ccc2c(c1)C[C@H]1OC(CC3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,Ligand_Box,12 23,0,-1070.004928
1079,c1ccc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc1,Ligand_Box,16 5,0,-762.8325198
1080,c1ccc2c(c1)C[C@H]1OC(c3ccc4ccccc4n3)=N[C@@H]21,Ligand_Box,19 20,0,-916.3386498
1081,c1ccc2c(c1)C[C@@H]1OC(c3nccc4ccccc34)=N[C@H]21,Ligand_Box,11 20,0,-916.3345383
1082,FC(F)(F)c1ccc(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)nc1,Ligand_Box,9 20,0,-1099.626649
1083,c1cc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc(C2=N[C@H]3c4ccccc4C[C@H]3O2)c1,Ligand_Box,18 4 15,0,-1277.615075
1084,c1ccc2c(c1)C[C@H]1OC(C3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,Ligand_Box,11 22,0,-1030.735569
1085,c1ccc(-c2cccc(C3=N[C@H]4c5ccccc5C[C@H]4O3)n2)nc1,Ligand_Box,10 21 22,0,-1009.709879
1086,c1ccc(-c2cccc(C3=N[C@@H]4c5ccccc5C[C@@H]4O3)n2)cc1,Ligand_Box,10 21,0,-993.6729656
1087,O=C(Nc1ccccc1C1=N[C@@H]2c3ccccc3C[C@@H]2O1)c1ccccc1P(c1ccccc1)c1ccccc1,Ligand_Box,2 10,0,-1949.73391
1088,O=C(Nc1cccc(C(F)(F)F)c1C1=N[C@@H]2c3ccccc3C[C@@H]2O1)c1ccccc1P(c1ccccc1)c1ccccc1,Ligand_Box,2 14,1,-2286.515962
1089,CC(CC1=N[C@H]2c3ccccc3C[C@@H]2O1)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1,Ligand_Box,16 28,0,-1663.278129
1090,CC(C)(C1=N[C@H](Cc2ccccc2)CO1)C1=N[C@H](Cc2ccccc2)CO1,Ligand_Box,16 4,0,-1150.888196
1091,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCCCC3)=N2)cc1,Ligand_Box,27 11,0,-1267.472166
1092,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCCC3)=N2)cc1,Ligand_Box,26 11,1,-1228.21857
1093,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCC3)=N2)cc1,Ligand_Box,25 11,0,-1188.932527
1094,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CC3)=N2)cc1,Ligand_Box,24 11,0,-1149.663336
1095,CC(Cc1ccccc1)(C1=N[C@H](Cc2ccccc2)CO1)C1=N[C@H](Cc2ccccc2)CO1,Ligand_Box,10 22,0,-1381.707279
1096,c1ccc(C[C@H]2COC(C(Cc3ccccc3)(Cc3ccccc3)C3=N[C@@H](Cc4ccccc4)CO3)=N2)cc1,Ligand_Box,25 36,0,-1612.547877
1097,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@H](Cc3ccccc3)CO2)C2=N[C@H](Cc3ccccc3)CO2)cc1,Ligand_Box,34 22,0,-1926.618731
1098,c1ccc(C[C@@H]2COC(CC3=N[C@H](Cc4ccccc4)CO3)=N2)cc1,Ligand_Box,11 22,0,-1072.356973
1099,c1ccc(C[C@H]2COC(c3ccccn3)=N2)cc1,Ligand_Box,14 15,0,-764.0089485
1100,c1ccc(C[C@H]2COC(c3ccc4ccccc4n3)=N2)cc1,Ligand_Box,18 19,0,-917.5151879
1101,FC(F)(F)c1ccc(C2=N[C@@H](Cc3ccccc3)CO2)nc1,Ligand_Box,9 20,0,-1100.805579
1102,Fc1ccc(C2=N[C@@H](Cc3ccccc3)CO2)nc1,Ligand_Box,17 6,0,-863.1783062
1103,CC(C)(C1=N[C@@H](Cc2ccccc2)CO1)c1ccccn1,Ligand_Box,4 20,0,-881.7938527
1104,FC(F)(F)c1ccnc(C2=N[C@@H](Cc3ccccc3)CO2)c1,Ligand_Box,10 7,0,-1100.805638
1105,c1ccc(C[C@@H]2COC(C3=N[C@H](Cc4ccccc4)CO3)=N2)cc1,Ligand_Box,10 21,0,-1033.091065
1106,c1ccc(C[C@@H]2COC(c3cccc(C4=N[C@H](Cc5ccccc5)CO4)n3)=N2)cc1,Ligand_Box,26 27 15,0,-1279.968702
1107,c1ccc(C[C@@H]2COC(c3cccc(C4=N[C@H](Cc5ccccc5)CO4)c3)=N2)cc1,Ligand_Box,27 15,0,-1263.941857
1108,c1ccc(C[C@H]2COC(C(Cc3ccc4ccccc4n3)(Cc3ccc4ccccc4n3)C3=N[C@@H](Cc4ccccc4)CO3)=N2)cc1,Ligand_Box,33 44,0,-1951.637558
