A,B
0.153533333,-0.008245309
0.154366667,-0.007676582
0.1552,-0.005918245
0.156033333,-0.003792346
0.156866667,-0.002066294
0.1577,-0.000846883
0.158533333,-0.000352661
0.159366667,-0.001388292
0.1602,-0.004025797
0.161033333,-0.007048249
0.161866667,-0.008451442
0.1627,-0.008674959
0.163533333,-0.008193155
0.164366667,-0.007162491
0.1652,-0.005595386
0.166033333,-0.003881752
0.166866667,-0.003345311
0.1677,-0.002880891
0.168533333,-0.002399087
0.169366667,-0.001723568
0.1702,-0.001172225
0.171033333,-0.000620882
0.171866667,0.000114242
0.1727,0.000104308
0.173533333,-0.000489255
0.174366667,-0.000750025
0.1752,-0.000235935
0.176033333,0.000357628
0.176866667,-9.93E-06
0.1777,-0.000469387
0.178533333,-0.000976026
0.179366667,-0.002021591
0.1802,-0.003881752
0.181033333,-0.005409122
0.181866667,-0.006179015
0.1827,-0.006869435
0.183533333,-0.007122755
0.184366667,-0.006916622
0.1852,-0.006556511
0.186033333,-0.007192294
0.186866667,-0.007559856
0.1877,-0.007080535
0.188533333,-0.006283323
0.189366667,-0.006067256
0.1902,-0.005970399
0.191033333,-0.005108615
0.191866667,-0.003596147
0.1927,-0.001986821
0.193533333,-0.00051409
0.194366667,0.001495083
0.1952,0.003909071
0.196033333,0.005739431
0.196866667,0.005759299
0.1977,0.004457931
0.198533333,0.0036334
0.199366667,0.003005068
0.2002,0.002682209
0.201033333,0.002803902
0.201866667,0.003630916
0.2027,0.004564722
0.203533333,0.005014241
0.204366667,0.005389253
0.2052,0.005329649
0.206033333,0.004244347
0.206866667,0.002885858
0.2077,0.002257526
0.208533333,0.001954536
0.209366667,0.001604358
0.2102,0.00115484
0.211033333,0.001296401
0.211866667,0.001713634
0.2127,0.001641611
0.21355,0.001517435
0.214383333,0.001261632
0.215216667,0.000531475
0.21605,-0.000613431
0.216883333,-0.001303852
0.217716667,-0.000904004
0.21855,-0.000660618
0.219383333,-0.000737607
0.220216667,4.97E-05
0.22105,0.001798073
0.221883333,0.003099442
0.222716667,0.003191332
0.22355,0.003278255
0.224383333,0.004107753
0.225216667,0.004542371
0.22605,0.004405777
0.226883333,0.003981094
0.227716667,0.003255904
0.22855,0.002294779
0.229383333,0.001336137
0.230216667,0.000608464
0.23105,-0.000551343
0.231883333,-0.001780689
0.232716667,-0.002389153
0.23355,-0.002692143
0.234383333,-0.003278255
0.235216667,-0.003772477
0.23605,-0.003822148
0.236883333,-0.00418971
0.237716667,-0.004989405
0.23855,-0.005759299
0.239383333,-0.006191432
0.240216667,-0.006566445
0.24105,-0.006938974
0.241883333,-0.0064224
0.242716667,-0.004882614
0.24355,-0.002920628
0.244383333,-0.001043081
0.245216667,0.000653168
0.24605,0.002289812
0.246883333,0.002704561
0.247716667,0.001855195
0.24855,0.000645717
0.249383333,8.44E-05
0.250216667,-0.000481804
0.25105,-0.001564622
0.251883333,-0.002210339
0.252716667,-0.002262493
0.25355,-0.002813836
0.254383333,-0.004254282
0.255216667,-0.005657474
0.25605,-0.006228685
0.256883333,-0.006673237
0.257716667,-0.007122755
0.25855,-0.007353723
0.259383333,-0.007597109
0.260216667,-0.008136034
0.26105,-0.008660058
0.261883333,-0.008881092
0.262716667,-0.008669992
0.26355,-0.007979572
0.264383333,-0.007251898
0.265216667,-0.006141762
0.26605,-0.005058944
0.266883333,-0.00419716
0.267716667,-0.004569689
0.26855,-0.00599275
0.269383333,-0.006998579
0.270216667,-0.007842978
0.27105,-0.009000301
0.271883333,-0.010137757
0.272716667,-0.01073132
0.273533333,-0.010857979
0.274366667,-0.011054178
0.2752,-0.010639429
0.276033333,-0.008918345
0.276866667,-0.006558994
0.2777,-0.00423938
0.278533333,-0.002247592
0.279366667,-0.000866751
0.2802,-1.49E-05
0.281033333,0.00029554
0.281866667,-2.48E-05
0.2827,-0.000623365
0.283533333,-0.001512468
0.284366667,-0.002540648
0.2852,-0.004217029
0.286033333,-0.006295741
0.286866667,-0.007475416
0.2877,-0.006775061
0.288533333,-0.004656613
0.289366667,-0.002389153
0.2902,-0.000740091
0.291033333,0.000399848
0.291866667,0.000680486
0.2927,-0.000673036
0.293533333,-0.003131727
0.294366667,-0.005366902
0.2952,-0.006536643
0.296033333,-0.00761201
0.296866667,-0.008737048
0.2977,-0.009201467
0.298533333,-0.008905927
0.299366667,-0.007718801
0.3002,-0.006106993
0.301033333,-0.003789862
0.301866667,-0.001989305
0.3027,-0.001259148
0.303533333,-0.00154227
0.304366667,-0.00282377
0.3052,-0.004457931
0.306033333,-0.005779167
0.306866667,-0.006228685
0.3077,-0.006536643
0.308533333,-0.006993612
0.309366667,-0.007693966
0.3102,-0.008712212
0.311033333,-0.010857979
0.311866667,-0.013314188
0.3127,-0.014769534
0.313533333,-0.01488626
0.314366667,-0.013505419
0.3152,-0.011384487
0.316033333,-0.008004407
0.316866667,-0.004529953
0.3177,-0.002324581
0.318533333,-0.001639128
0.319366667,-0.002786517
0.3202,-0.0049149
0.321033333,-0.007991989
0.321866667,-0.010912617
0.3227,-0.012730559
0.323533333,-0.013160209
0.324366667,-0.012355546
0.3252,-0.010433296
0.326033333,-0.008121133
0.326866667,-0.006278356
0.3277,-0.005505979
0.328533333,-0.005980333
0.329366667,-0.007125239
0.3302,-0.008679926
0.331033333,-0.010234614
0.331866667,-0.011878709
0.3327,-0.013065835
0.333533333,-0.012966494
0.334366667,-0.011878709
0.3352,-0.010681649
0.336033333,-0.009646018
0.336866667,-0.007733703
0.3377,-0.005312264
0.338533333,-0.004209578
0.339366667,-0.005359451
0.3402,-0.007984539
0.341033333,-0.010634462
0.341866667,-0.013202429
0.3427,-0.0160411
0.343533333,-0.017916163
0.344366667,-0.018196801
0.3452,-0.017121434
0.346033333,-0.015839934
0.346866667,-0.01466771
0.3477,-0.012805065
0.348533333,-0.010810792
0.349366667,-0.008828938
0.3502,-0.006894271
0.351033333,-0.005252659
0.351866667,-0.004333754
0.3527,-0.004656613
0.353533333,-0.005707145
0.354366667,-0.0072668
0.3552,-0.009891888
0.356033333,-0.012735526
0.356866667,-0.014938414
0.3577,-0.015899539
