Binol,Ligand,Uncertainty
41,1173,0.0031759976521688
41,1174,0.0094612556479266
41,1175,0.0152712349983044
41,1176,0.0221132400672495
41,1177,0.0310556309150567
41,1178,0.029367785874766
41,1049,0.000472515044926
41,1093,0.0048846777511278
41,1004,0.9355659393178394
41,1070,0.3517914023670754
41,1077,0.5310506966363531
41,1013,0.0394037022382566
41,1103,0.0405747633260339
41,1015,0.0437289436217501
41,1089,0.0004322133605759
41,1016,0.0022902988583639
41,1062,0.0034891558329626
41,1125,0.0038767097936486
41,1109,0.0661657095281798
41,1039,0.0175345336505132
41,1017,0.000679085039335
41,1018,0.0087762066813085
41,1066,0.0249805284438587
41,1087,0.0689689113170856
41,1088,0.1624020009270352
41,1007,0.0576483708017976
41,1098,0.0356010806939029
41,1011,0.0438499569568674
41,1068,0.0100312659010126
41,1078,0.0127026547018359
41,1073,0.0014661025649306
41,1058,0.0022955655248655
41,1091,0.172548981266375
42,1001,0.1608273095258755
42,1022,0.2057719177980133
42,1090,0.3064072172491031
42,1060,0.4552169335403584
42,1112,0.0553405724101411
42,1067,0.0887370045464408
42,1072,0.0383723425003405
42,1113,0.0126048076832624
42,1002,0.0082268811339092
42,1092,0.1420747442393915
42,1003,0.0012582153067106
42,1048,0.0012712162320701
42,1025,0.0404503100048554
42,1071,0.0449647748226609
42,1115,0.0429306939983078
42,1051,0.340988212997243
42,1118,0.0167212760625761
42,1053,0.0394280431331708
42,1052,0.2580208021527726
42,1117,0.0973699095276203
42,1116,0.156477274010485
42,1028,0.0200954529127036
42,1029,0.0858681106935999
42,1096,0.017926664969088
42,1069,0.1194908966005638
42,1114,0.0199575899565103
42,1047,0.0636797150421411
42,1076,0.0803683337457952
42,1131,0.0025791817733866
42,1046,0.1358075155958123
42,1023,0.0197796862340838
42,1006,0.0030022564474669
42,1050,0.0150237569075504
42,1026,0.0051222114311675
42,1033,0.1158429904414724
42,1057,0.1541642473341575
42,1106,0.0033265968141676
42,1083,0.253418936521293
42,1061,0.3739410818390498
42,1123,0.2497833934025788
42,1045,0.0670187002117783
42,1008,0.0006079143107769
42,1084,0.0137681544801844
42,1105,0.0943759666230261
42,1134,0.0160563961402901
42,1135,0.0450685534909891
42,1139,0.0646280381131014
42,1054,0.1459586576815914
42,1133,0.0282439928809285
42,1099,0.0012085911194148
42,1012,0.0614724819243751
42,1036,0.0055905966468493
42,1055,0.0205029232735659
42,1031,0.0116418068023583
42,1104,0.9689288324286144
42,1035,0.6646375665013888
42,1009,0.0021090358870553
42,1037,0.9838812333710684
42,1079,1.1755557120640283
42,1100,0.039365663057595
42,1102,0.0311249980833589
42,1122,0.0137612996027164
42,1034,0.1519163169204371
42,1101,0.1195240208739797
42,1010,0.6201055194100119
42,1065,0.3302359659274784
42,1110,0.3881926374803042
42,1038,0.1569629797203457
42,1126,0.0903605473762103
42,1127,0.0199468188169478
42,1064,0.0212778696777333
42,1107,0.0846575511214937
42,1040,0.0248247941126272
42,1108,0.0523085885842751
42,1138,0.0049156351100955
42,1136,0.0021679134578562
42,1021,0.5535322770968334
42,1137,0.0749009400031408
42,1041,0.2103076104229279
42,1042,0.0009505563205147
42,1043,0.0147860518913202
42,1063,0.0015366177036492
42,1044,0.1188140964564003
42,1124,0.2520348784225093
42,1111,0.0446774468508741
42,1140,0.0591283687824707
42,1141,0.0642816969037248
42,1142,0.0145245916868016
42,1143,0.0112362193032223
42,1144,0.0315999333378421
42,1145,0.0032215703503109
42,1146,0.0320550926930964
42,1147,0.0424608198679244
42,1148,0.0097943998733188
42,1149,0.0111507162801111
42,1150,0.4187525556631812
42,1151,0.2229404478088765
42,1152,0.0605281486991796
42,1153,0.0324306863802092
42,1154,0.0304903208985448
42,1155,0.0358492223681998
42,1156,0.031381386101716
42,1157,0.0815259245307081
42,1158,0.0707543070051219
42,1159,0.04933946041638
42,1160,0.0489073521637625
42,1161,0.0522405478055186
42,1162,0.0759891377782441
42,1163,0.0938293665177934
42,1164,0.072100474645068
42,1165,0.0671229043690151
42,1166,0.0676055457063534
42,1167,0.0420981377297885
42,1168,0.0038421313116387
42,1169,0.0026821625766393
42,1170,0.0096436511816281
42,1171,0.0412042984429902
42,1172,0.0151154728840676
42,1173,0.0021138899152992
42,1174,0.0056898377339999
42,1175,0.0068802309479314
42,1176,0.0051132348226151
42,1177,0.0119776828118351
42,1178,0.01070182493034
42,1049,0.0003732227785082
42,1093,0.0029855746561495
42,1004,0.111948985140875
42,1070,0.0766270823927149
42,1077,0.0308229178169624
42,1013,0.0109966517483535
42,1103,0.0139555780707815
42,1015,0.0203293761039922
42,1089,0.0008461242062628
42,1016,0.0005530336945218
42,1062,0.0023396821417564
42,1125,0.0028302602343855
42,1109,0.0261825601000852
42,1039,0.0079108151169986
42,1017,0.0005363959888116
42,1018,0.0064977492912225
42,1066,0.0068832301565035
42,1087,0.0219487884123141
42,1088,0.0349112501646187
42,1007,0.0160451928435769
42,1098,0.0164419629117655
42,1011,0.017338835370744
42,1068,0.0113116143082985
42,1078,0.0013472054892006
42,1073,0.0009748684696408
42,1058,0.0007253519354461
42,1091,0.0351173401618511
16,1001,1.4608396263625496
16,1022,2.1493325813869424
16,1090,7.922802598183308
16,1060,3.2650163714247804
16,1112,0.466604435485194
16,1067,0.9659995830504928
16,1072,0.1289226075955952
16,1113,0.0840914601409475
16,1002,0.0232897903472175
16,1092,0.1900630972712307
16,1003,0.0042686482775666
16,1048,0.0019004310891235
16,1025,0.3777489761132076
16,1071,0.1363614958244885
16,1115,0.1275448688934027
16,1051,6.28337142615419
16,1118,0.1270574200538554
16,1053,0.3144708779290945
16,1052,4.654427682580455
16,1117,1.03257107227734
16,1116,2.845228403868797
16,1028,0.0262581961094556
16,1029,0.2926716984345073
16,1096,0.0210057247908345
16,1069,1.1963113313513265
16,1114,0.0430421632207426
16,1047,0.2027666345091009
16,1076,1.573724226777926
16,1131,0.0108037685547341
16,1046,0.380653561051592
16,1023,0.1206580337218777
16,1006,0.003972363359089
16,1050,0.0684273680469922
16,1026,0.029510624689247
16,1033,0.4681681317235641
16,1057,7.439830455553197
16,1106,0.0055687376568315
16,1083,1.8750232472775088
16,1061,4.955713280563308
16,1123,1.280999198761103
16,1045,0.1104880769647276
16,1008,0.0047083046874559
16,1084,0.0476888510546403
16,1105,0.9394623077437416
16,1134,0.0903566063127359
16,1135,0.2523472597026982
16,1139,0.2627553893039934
16,1054,3.6853650237979454
16,1133,0.1075964379281174
16,1099,0.0007813796608914
16,1012,0.5521845049888412
16,1036,0.021626552830284
16,1055,0.0710275374037515
16,1031,0.0444721265985503
16,1104,5.1456845491683
16,1035,4.240374882463026
16,1009,0.0022126475191522
16,1037,11.609167882377374
16,1079,2.2060471932815693
16,1100,0.0611607952160343
16,1102,0.0727191138406904
16,1122,0.0557692063057637
16,1034,0.9722902025684016
16,1101,0.4070724424400916
16,1010,5.07359454690098
16,1065,2.8383579433668054
16,1110,3.967564688101557
16,1038,0.6518085296299422
16,1126,0.1051448950095266
16,1127,0.0327005842904712
16,1064,0.0808900664748308
16,1107,0.3367218848109309
16,1040,0.0580279957472187
16,1108,0.2603702701816723
16,1138,0.0075987217072827
16,1136,0.0069788500654401
16,1021,5.907069699972162
16,1137,0.5978654797490873
16,1041,0.8320047537902011
16,1042,0.0038153189871013
16,1043,0.0322217182904125
16,1063,0.003571326807878
16,1044,1.234097909957204
16,1124,1.598658856147062
16,1111,0.2511510592664931
16,1140,0.2133191224907574
16,1141,0.8364812641822743
16,1142,0.0280203948779518
16,1143,0.0281135333423629
16,1144,0.1044895297655505
16,1145,0.0150963205725912
16,1146,0.1087237863310876
