Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G,Pred_Value
32,1195,Oc1ccc2cc(OCc3ccccc3)ccc2c1-c1c(O)ccc2cc(OCc3ccccc3)ccc12,CC(C)[C@H]1COC(C(C)(Cc2ccccc2)C2=N[C@@H](C(C)C)CO2)=N1,0,0,0 21,24 17,-1610.670859,-1077.094636,-20.816206746855325
36,1154,CCCCc1ccc2c(-c3c(O)ccc4cc(CCCC)ccc34)c(O)ccc2c1,c1ccc2c(c1)C[C@@H]1OC(C3(C4=N[C@@H]5c6ccccc6C[C@@H]5O4)CCC3)=N[C@H]21,0,3,11 25,26 12,-1234.271879,-1186.577848,74.16591496932526
31,1195,COc1ccc2c(-c3c(O)ccc4cc(OC)ccc34)c(O)ccc2c1,CC(C)[C@H]1COC(C(C)(Cc2ccccc2)C2=N[C@@H](C(C)C)CO2)=N1,0,0,9 21,24 17,-1149.006099,-1077.094636,-24.299909610984145
56,1036,Cc1ccc2ccc(O)c(-c3c(O)ccc4ccc(C)cc34)c2c1,CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1,0,4,8 12,4 15,-998.7145586,-1072.360523,27.649478962614044
56,1151,Cc1ccc2ccc(O)c(-c3c(O)ccc4ccc(C)cc34)c2c1,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCC3)=N2)cc1,0,0,8 12,10 23,-998.7145586,-1110.405334,25.049167776450034
0,1151,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCC3)=N2)cc1,0,0,0 13,10 23,-920.1839287,-1110.405334,35.54636368968915
0,1039,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,0,0,0 13,10 22,-920.1839287,-1071.142417,11.301906930993491
0,1184,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)[C@@H]1COC(C2(C3=N[C@H](C(C)(C)C)CO3)CC2)=N1,0,2,0 13,10 20,-920.1839287,-923.5694488,-25.264892281760304
0,1098,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@H]1COC(/C(C#N)=C2\[N-][C@@H](C(C)C)CO2)=N1,0,6,0 13,9 18 11,-920.1839287,-859.3852808,-5.335855881348837
0,1185,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,C[C@H]1COC(C(C)(C)C2=N[C@@H](C)CO2)=N1,0,0,0 13,9 14,-920.1839287,-689.222808,-14.689480926014317
0,1201,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,C[C@H]1COC(C(C)(Cc2ccccc2)C2=N[C@@H](C)CO2)=N1,0,0,0 13,20 15,-920.1839287,-920.0497162,-21.214881030323752
0,1066,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@H]1COC(c2ccccn2)=N1,0,0,0 13,12 13,-920.1839287,-611.69952,-17.184945913353904
